Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,147,Lloyd Matthew,27,Omega Pharma-Lotto,56,2010,21
2,131,Basso Ivan,32,Liquigas - Doimo,41,2010,21
3,59,Tschopp Johann,27,Bbox Bouygues Telecom,38,2010,21
4,1,Evans Cadel,33,BMC Racing Team,35,2010,21
5,31,Scarponi Michele,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,25,2010,21
6,29,Turpin Ludovic,35,AG2R La Mondiale,20,2010,21
7,34,Bertogliati Rubens,31,Androni Giocattoli - Serramenti PVC Diquigiovanni,16,2010,21
8,98,Stortoni Simone,24,Colnago - CSF Inox,16,2010,21
9,41,Vinokourov Alexandre,36,Astana,15,2010,21
10,132,Nibali Vincenzo,25,Liquigas - Doimo,15,2010,21
11,213,S\xf8rensen Chris Anker,25,Saxo Bank,15,2010,21
12,123,Simoni Gilberto,38,Lampre - Farnese Vini,15,2010,21
13,99,Pirazzi Stefano,23,Colnago - CSF Inox,14,2010,21
14,142,Bakelants Jan,24,Omega Pharma-Lotto,13,2010,21
15,148,Moreno Daniel,28,Omega Pharma-Lotto,10,2010,21
16,85,Duque Leonardo,30,Cofidis Le Credit en Ligne,10,2010,21
17,154,Pineau J\xe9rome,30,Quickstep - Innergetic,10,2010,21
18,26,Krivtsov Yuriy,31,AG2R La Mondiale,9,2010,21
19,71,Sastre Carlos,35,Cervelo Test Team,9,2010,21
20,24,Gadret John,31,AG2R La Mondiale,8,2010,21
21,37,Rodriguez Jackson,25,Androni Giocattoli - Serramenti PVC Diquigiovanni,7,2010,21
22,57,Le Floch Guillaume,25,Bbox Bouygues Telecom,7,2010,21
23,156,Samoilau Branislau,25,Quickstep - Innergetic,6,2010,21
24,141,Lang Sebastian,30,Omega Pharma-Lotto,5,2010,21
25,182,Pinotti Marco,34,Team HTC - Columbia,5,2010,21
26,198,Petrov Evgeni,32,Katyusha,5,2010,21
27,126,Marzano Marco,29,Lampre - Farnese Vini,5,2010,21
28,164,Flens Rick,27,Rabobank ProTeam,5,2010,21
29,121,Cunego Damiano,28,Lampre - Farnese Vini,4,2010,21
30,216,Didier Laurent,25,Saxo Bank,4,2010,21
31,77,Wyss Marcel,23,Cervelo Test Team,4,2010,21
32,88,Sijmens Nico,32,Cofidis Le Credit en Ligne,4,2010,21
33,149,Wegelius Charles,32,Omega Pharma-Lotto,3,2010,21
34,25,Hinault S\xe9bastien,36,AG2R La Mondiale,3,2010,21
35,146,Kaisen Olivier,27,Omega Pharma-Lotto,3,2010,21
36,63,Arroyo David,30,Caisse d'Epargne,3,2010,21
37,106,Mayoz Echeverria Iban,28,Footon-Servetto,3,2010,21
38,52,Arashiro Yukiya,25,Bbox Bouygues Telecom,3,2010,21
39,22,Dupont Hubert,29,AG2R La Mondiale,2,2010,21
40,144,de Greef Francis,25,Omega Pharma-Lotto,2,2010,21
41,38,Serpa Jose Rodolfo,31,Androni Giocattoli - Serramenti PVC Diquigiovanni,2,2010,21
42,62,Amador Andrey,23,Caisse d'Epargne,2,2010,21
43,215,Larsson Gustav,29,Saxo Bank,2,2010,21
44,15,Failli Francesco,26,Acqua & Sapone,2,2010,21
45,86,Fouchard Julien,23,Cofidis Le Credit en Ligne,2,2010,21
46,51,Voeckler Thomas,30,Bbox Bouygues Telecom,1,2010,21
47,36,Ochoa Carlos Jos\xe9,29,Androni Giocattoli - Serramenti PVC Diquigiovanni,1,2010,21
48,203,Fothen Markus,28,Milram,1,2010,21
