Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,Astana,,+ - 86:03:11,257:48:40 257:48:40,2009,21
2,,Team Columbia - HTC,,+ - 86:03:11,24:15 24:15,2009,21
3,,Serramenti PVC Diquigiovanni-Androni Giocattoli,,+ - 86:03:11,27:17 27:17,2009,21
4,,Liquigas,,+ - 86:03:11,32:21 32:21,2009,21
5,,Lampre - NGC,,+ - 86:03:11,58:58 58:58,2009,21
6,,Caisse d'Epargne,,+ - 86:03:11,1:10:52 1:10:52,2009,21
7,,Cervelo Test Team,,+ - 86:03:11,1:16:23 1:16:23,2009,21
8,,Acqua & Sapone,,+ - 86:03:11,1:18:52 1:18:52,2009,21
9,,Rabobank ProTeam,,+ - 86:03:11,1:51:45 1:51:45,2009,21
10,,LPR Brakes - Farnese Vini,,+ - 86:03:11,1:53:34 1:53:34,2009,21
11,,AG2R La Mondiale,,+ - 86:03:11,2:16:51 2:16:51,2009,21
12,,Quickstep - Innergetic,,+ - 86:03:11,2:48:21 2:48:21,2009,21
13,,Barloworld - Bianchi,,+ - 86:03:11,3:02:44 3:02:44,2009,21
14,,Saxo Bank,,+ - 86:03:11,3:03:16 3:03:16,2009,21
15,,Xacobeo-Galicia,,+ - 86:03:11,3:28:58 3:28:58,2009,21
16,,ISD Cycling Team,,+ - 86:03:11,3:29:40 3:29:40,2009,21
17,,Team Katusha,,+ - 86:03:11,3:36:29 3:36:29,2009,21
18,,Fuji-Servetto,,+ - 86:03:11,3:51:49 3:51:49,2009,21
19,,Silence - Lotto,,+ - 86:03:11,4:04:12 4:04:12,2009,21
20,,Milram,,+ - 86:03:11,6:34:09 6:34:09,2009,21
21,,Bbox Bouygues Telekom,,+ - 86:03:11,6:46:03 6:46:03,2009,21
22,,Team Garmin - Slipstream,,+ - 86:03:11,6:51:21 6:51:21,2009,21
