Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
27,151,18.0,3.0,Zakarin Ilnur,3,Team Katusha - Alpecin,,-,5,2017
29,146,15.0,4.0,Janse van Rensburg Jacques,4,Team Dimension Data,,-,5,2017
30,179,12.0,5.0,Thomas Geraint,5,Team Sky,,-,5,2017
29,52,9.0,6.0,Benedetti Cesare,6,BORA - hansgrohe,,-,5,2017
26,81,9.0,7.0,Pinot Thibaut,7,FDJ,,-,5,2017
26,144,9.0,8.0,Fraile Omar,8,Team Dimension Data,,-,5,2017
23,33,7.0,9.0,Andreetta Simone,9,Bardiani - CSF,,-,5,2017
35,92,7.0,10.0,Brutt Pavel,10,Gazprom-RusVelo,,-,5,2017
32,22,6.0,11.0,Cataldo Dario,11,Astana Pro Team,,-,5,2017
30,61,6.0,12.0,Rolland Pierre,12,Cannondale-Drapac Pro Cycling Team,,-,5,2017
27,219,6.0,13.0,Zhupa Eugert,13,Wilier Triestina - Selle Italia,,-,5,2017
25,98,6.0,17.0,Shalunov Evgeny,14,Gazprom-RusVelo,,\u25b23,5,2017
26,181,4.0,14.0,Dumoulin Tom,15,Team Sunweb,,\u25bc1,5,2017
25,58,4.0,15.0,P\xf6stlberger Lukas,16,BORA - hansgrohe,,\u25bc1,5,2017
26,192,4.0,16.0,Alafaci Eugenio,17,Trek - Segafredo,,\u25bc1,5,2017
30,75,3.0,,Paterski Maciej,18,CCC Sprandi Polkowice,,-,5,2017
27,79,3.0,18.0,Tratnik Jan,19,CCC Sprandi Polkowice,,\u25bc1,5,2017
24,131,2.0,19.0,Jungels Bob,20,Quick-Step Floors,,\u25bc1,5,2017
33,19,2.0,20.0,Montaguti Matteo,21,AG2R La Mondiale,,\u25bc1,5,2017
24,121,1.0,21.0,Yates Adam,22,ORICA-Scott,,\u25bc1,5,2017
30,3,1.0,22.0,Boaro Manuele,23,Bahrain Merida Pro Cycling Team,,\u25bc1,5,2017
29,96,1.0,23.0,Rovny Ivan,24,Gazprom-RusVelo,,\u25bc1,5,2017
26,215,1.0,24.0,Koshevoy Ilia,25,Wilier Triestina - Selle Italia,,\u25bc1,5,2017
33,72,1.0,25.0,Bialoblocki Marcin,26,CCC Sprandi Polkowice,,\u25bc1,5,2017
25,209,43.0,1.0,Polanc Jan,1,UAE Team Emirates,,-,6,2017
28,148,23.0,2.0,Teklehaimanot Daniel,2,Team Dimension Data,,-,6,2017
27,151,18.0,3.0,Zakarin Ilnur,3,Team Katusha - Alpecin,,-,6,2017
29,146,15.0,4.0,Janse van Rensburg Jacques,4,Team Dimension Data,,-,6,2017
23,33,15.0,9.0,Andreetta Simone,5,Bardiani - CSF,,\u25b24,6,2017
30,179,12.0,5.0,Thomas Geraint,6,Team Sky,,\u25bc1,6,2017
29,52,9.0,6.0,Benedetti Cesare,7,BORA - hansgrohe,,\u25bc1,6,2017
26,81,9.0,7.0,Pinot Thibaut,8,FDJ,,\u25bc1,6,2017
26,144,9.0,8.0,Fraile Omar,9,Team Dimension Data,,\u25bc1,6,2017
25,58,8.0,16.0,P\xf6stlberger Lukas,10,BORA - hansgrohe,,\u25b26,6,2017
35,92,7.0,10.0,Brutt Pavel,11,Gazprom-RusVelo,,\u25bc1,6,2017
32,22,6.0,11.0,Cataldo Dario,12,Astana Pro Team,,\u25bc1,6,2017
30,61,6.0,12.0,Rolland Pierre,13,Cannondale-Drapac Pro Cycling Team,,\u25bc1,6,2017
26,43,6.0,,Dillier Silvan,14,BMC Racing Team,,-,6,2017
27,219,6.0,13.0,Zhupa Eugert,15,Wilier Triestina - Selle Italia,,\u25bc2,6,2017
25,98,6.0,14.0,Shalunov Evgeny,16,Gazprom-RusVelo,,\u25bc2,6,2017
26,181,4.0,15.0,Dumoulin Tom,17,Team Sunweb,,\u25bc2,6,2017
26,192,4.0,17.0,Alafaci Eugenio,18,Trek - Segafredo,,\u25bc1,6,2017
30,75,3.0,18.0,Paterski Maciej,19,CCC Sprandi Polkowice,,\u25bc1,6,2017
27,79,3.0,19.0,Tratnik Jan,20,CCC Sprandi Polkowice,,\u25bc1,6,2017
24,131,2.0,20.0,Jungels Bob,21,Quick-Step Floors,,\u25bc1,6,2017
