Rnk,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,105,Uran Rigoberto,25,Sky Procycling,7,+5:57,91:44:59 91:44:59,2012,20
2,102,Henao Sergio Luis,24,Sky Procycling,9,+7:50,1:53 1:53,2012,20
3,4,Brambilla Gianluca,24,Colnago CSF Bardiani,13,+14:20,8:23 8:23,2012,20
4,68,Ulissi Diego,22,Lampre - ISD,21,+37:17,31:20 31:20,2012,20
5,127,Caruso Damiano,24,Liquigas - Cannondale,24,+49:45,43:48 43:48,2012,20
6,78,Kangert Tanel,25,Astana Pro Team,26,+50:49,44:52 44:52,2012,20
7,218,Stetina Peter,24,Team Garmin - Barracuda,27,+54:25,48:28 48:28,2012,20
8,187,Slagter Tom-Jelte,22,Rabobank Cycling Team,30,+57:21,51:27 51:27,2012,20
9,3,Pirazzi Stefano,25,Colnago CSF Bardiani,46,+1:40:57,1:35:00 1:35:00,2012,20
10,174,Izagirre Ion,23,Euskaltel - Euskadi,48,+1:48:54,1:42:57 1:42:57,2012,20
11,158,Felline Fabio,22,Androni Giocattoli - Venezuela,50,+1:58:26,1:52:29 1:52:29,2012,20
12,139,Rabottini Matteo,24,Farnese Vini-Neri-Sottoli,60,+2:29:35,2:23:38 2:23:38,2012,20
13,204,Oliveira Nelson,23,RadioShack - Nissan,64,+2:34:10,2:28:13 2:28:13,2012,20
14,116,Gastauer Ben,24,AG2R La Mondiale,67,+2:37:24,2:31:27 2:31:27,2012,20
15,69,Malori Adriano,24,Lampre - ISD,68,+2:37:43,2:31:46 2:31:46,2012,20
16,5,Battaglin Enrico,22,Colnago CSF Bardiani,74,+2:54:56,2:48:59 2:48:59,2012,20
17,45,Denifl Stefan,24,Vacansoleil - DCM,75,+2:56:07,2:50:10 2:50:10,2012,20
18,198,Soupe Geoffrey,24,FDJ - BigMat,76,+2:58:19,2:52:22 2:52:22,2012,20
19,35,Smukulis Gatis,25,Team Katusha,84,+3:05:20,2:59:23 2:59:23,2012,20
20,73,Ponzi Simone,25,Astana Pro Team,88,+3:10:14,3:04:17 3:04:17,2012,20
21,57,Vermote Julien,22,Omega Pharma - Quick-Step,89,+3:10:33,3:04:36 3:04:36,2012,20
22,118,Bonnafond Guillaume,24,AG2R La Mondiale,90,+3:12:37,3:06:40 3:06:40,2012,20
23,1,Pagani Angelo,23,Colnago CSF Bardiani,97,+3:21:50,3:15:53 3:15:53,2012,20
24,8,Colbrelli Sonny,22,Colnago CSF Bardiani,100,+3:27:27,3:21:30 3:21:30,2012,20
25,167,Bulgac Brian,24,Lotto Belisol Team,102,+3:28:42,3:22:45 3:22:45,2012,20
26,12,Benedetti Cesare,24,Team Netapp,107,+3:38:44,3:32:47 3:32:47,2012,20
27,111,B\xe9rard Julien,24,AG2R La Mondiale,110,+3:42:04,3:36:07 3:36:07,2012,20
28,16,Br\xe4ndle Matthias,22,Team Netapp,111,+3:46:44,3:40:47 3:40:47,2012,20
29,19,Schorn Daniel,23,Team Netapp,124,+4:14:08,4:08:11 4:08:11,2012,20
30,49,Keizer Martijn,24,Vacansoleil - DCM,126,+4:15:04,4:09:07 4:09:07,2012,20
31,26,Keukeleire Jens,23,Orica GreenEDGE,127,+4:18:08,4:12:11 4:12:11,2012,20
32,177,Cabedo Victor,22,Euskaltel - Euskadi,129,+4:19:04,4:13:07 4:13:07,2012,20
33,205,Nizzolo Giacomo,23,RadioShack - Nissan,130,+4:20:01,4:14:04 4:14:04,2012,20
34,99,Boaro Manuele,25,Team Saxo Bank - Tinkoff Bank,131,+4:20:09,4:14:12 4:14:12,2012,20
35,104,Stannard Ian,25,Sky Procycling,132,+4:20:11,4:14:14 4:14:14,2012,20
36,161,Vanendert Dennis,23,Lotto Belisol Team,133,+4:21:02,4:15:05 4:15:05,2012,20
37,55,Kwiatkowski Michal,21,Omega Pharma - Quick-Step,136,+4:23:49,4:17:52 4:17:52,2012,20
38,219,Navardauskas Ramunas,24,Team Garmin - Barracuda,137,+4:25:05,4:19:08 4:19:08,2012,20
39,6,Modolo Sacha,24,Colnago CSF Bardiani,138,+4:25:48,4:19:51 4:19:51,2012,20
40,209,Sergent Jesse,23,RadioShack - Nissan,139,+4:28:16,4:22:19 4:22:19,2012,20
41,38,Kristoff Alexander,24,Team Katusha,149,+4:52:44,4:46:47 4:46:47,2012,20
42,9,Coledan Marco,23,Colnago CSF Bardiani,153,+5:02:46,4:56:49 4:56:49,2012,20
43,149,Phinney Taylor,21,BMC Racing Team,155,+5:12:54,5:06:57 5:06:57,2012,20
44,178,Minguez Miguel,23,Euskaltel - Euskadi,157,+5:27:06,5:21:09 5:21:09,2012,20
