Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,1,Garzelli Stefano,37,Acqua & Sapone,67.0,2011,20
2,181,Contador Alberto,28,Saxo Bank - Sungard,,2011,20
3,23,Rujano Jos\xe9 Humberto,29,Androni Giocattoli - Serramenti PVC Diquigiovanni,43.0,2011,20
4,59,Nieve Mikel,27,Euskaltel - Euskadi,39.0,2011,20
5,48,Brambilla Gianluca,23,Colnago - CSF Inox,29.0,2011,20
6,122,Kiryienka Vasil,29,Movistar Team,24.0,2011,20
7,22,Sella Emanuele,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,23.0,2011,20
8,91,Scarponi Michele,31,Lampre - ISD,23.0,2011,20
9,111,Nibali Vincenzo,26,Liquigas - Cannondale,22.0,2011,20
10,225,Hoogerland Johnny,28,Vacansoleil - DCM,21.0,2011,20
11,167,Pineau J\xe9rome,31,Quickstep Cycling Team,20.0,2011,20
12,128,Samoilau Branislau,26,Movistar Team,19.0,2011,20
13,154,Rabottini Matteo,23,Farnese Vini-Neri-Sottoli,19.0,2011,20
14,131,Bakelants Jan,25,Omega Pharma-Lotto,17.0,2011,20
15,51,Anton Igor,28,Euskaltel - Euskadi,15.0,2011,20
16,144,Ki\u0161erlovski Robert,24,Pro Team Astana,14.0,2011,20
17,125,Lastras Pablo,35,Movistar Team,13.0,2011,20
18,141,Kreuziger Roman,25,Pro Team Astana,12.0,2011,20
19,4,Betancur Carlos,21,Acqua & Sapone,12.0,2011,20
20,134,De Clercq Bart,24,Omega Pharma-Lotto,11.0,2011,20
21,168,Seeldraeyers Kevin,24,Quickstep Cycling Team,11.0,2011,20
22,212,Popovych Yaroslav,31,RadioShack,10.0,2011,20
23,17,Gastauer Ben,23,AG2R La Mondiale,9.0,2011,20
24,46,Canuti Federico,25,Colnago - CSF Inox,9.0,2011,20
25,112,Agnoli Valerio,26,Liquigas - Cannondale,9.0,2011,20
26,33,Frank Mathias,24,BMC Racing Team,9.0,2011,20
