Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,21,9,+0:23,3.0,Aru Fabio,3,Astana Pro Team,0:23 0:23,-,3,2015
25,215,21,+0:33,6.0,Felline Fabio,4,Trek Factory Racing,0:33 0:33,\u25b22,3,2015
23,73,28,+0:36,4.0,Elissonde Kenny,5,FDJ,0:36 0:36,\u25bc1,3,2015
24,31,40,+0:47,9.0,Bongiorno Francesco Manuel,6,Bardiani - CSF Pro Team,0:47 0:47,\u25b23,3,2015
22,156,47,+1:03,11.0,Formolo Davide,7,Team Cannondale - Garmin,1:03 1:03,\u25b24,3,2015
24,115,54,+1:40,16.0,Herrada Jes\xfas,8,Movistar Team,1:40 1:40,\u25b28,3,2015
24,46,58,+1:54,19.0,Dillier Silvan,9,BMC Racing Team,1:54 1:54,\u25b210,3,2015
23,97,62,+2:18,23.0,Polanc Jan,10,Lampre - Merida,2:18 2:18,\u25b213,3,2015
23,92,64,+2:18,24.0,Grmay Tsgabu,11,Lampre - Merida,",, 2:18",\u25b213,3,2015
23,159,75,+5:46,36.0,Villella Davide,12,Team Cannondale - Garmin,5:46 5:46,\u25b224,3,2015
25,32,81,+10:31,20.0,Barbin Enrico,13,Bardiani - CSF Pro Team,10:31 10:31,\u25b27,3,2015
21,193,84,+10:42,5.0,Henao Sebasti\xe1n,14,Team Sky,10:42 10:42,\u25bc9,3,2015
22,82,88,+12:07,22.0,Chevrier Cl\xe9ment,15,IAM Cycling,12:07 12:07,\u25b27,3,2015
23,153,92,+14:28,31.0,Brown Nathan,16,Team Cannondale - Garmin,14:28 14:28,\u25b215,3,2015
21,47,101,+15:26,39.0,K\xfcng Stefan,17,BMC Racing Team,15:26 15:26,\u25b222,3,2015
24,168,102,+15:33,13.0,Ludvigsson Tobias,18,Team Giant - Alpecin,15:33 15:33,\u25bc5,3,2015
25,19,103,+15:43,14.0,Zilioli Gianfranco,19,Androni Giocattoli - Sidermec,15:43 15:43,\u25bc5,3,2015
24,114,104,+15:47,17.0,Fern\xe1ndez Rub\xe9n,20,Movistar Team,15:47 15:47,\u25bc3,3,2015
23,184,115,+17:58,7.0,Hofland Moreno,21,Team LottoNL-Jumbo,17:58 17:58,\u25bc14,3,2015
22,35,116,+18:09,29.0,Chirico Luca,22,Bardiani - CSF Pro Team,18:09 18:09,\u25b27,3,2015
24,135,117,+18:32,32.0,Durbridge Luke,23,Orica GreenEDGE,18:32 18:32,\u25b29,3,2015
24,7,123,+19:48,35.0,Houle Hugo,24,AG2R La Mondiale,19:48 19:48,\u25b211,3,2015
25,56,125,+20:06,25.0,Owsian Lukasz,25,CCC Sprandi Polkowice,20:06 20:06,-,3,2015
24,212,128,+20:20,26.0,Alafaci Eugenio,26,Trek Factory Racing,20:20 20:20,-,3,2015
24,38,139,+22:59,8.0,Ruffoni Nicola,27,Bardiani - CSF Pro Team,22:59 22:59,\u25bc19,3,2015
23,122,143,+23:08,37.0,Berlato Giacomo,28,Nippo - Vini Fantini,23:08 23:08,\u25b29,3,2015
25,103,145,+23:12,10.0,Broeckx Stig,29,Lotto Soudal,23:12 23:12,\u25bc19,3,2015
