Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
32,119,14.0,,Visconti Giovanni,15,Movistar Team,-,4,2015
41,148,14.0,11.0,Petacchi Alessandro,16,Southeast,\u25bc5,4,2015
37,28,12.0,13.0,Tiralongo Paolo,17,Astana Pro Team,\u25bc4,4,2015
25,215,12.0,12.0,Felline Fabio,18,Trek Factory Racing,\u25bc6,4,2015
24,36,10.0,,Colbrelli Sonny,19,Bardiani - CSF Pro Team,-,4,2015
25,56,10.0,15.0,Owsian Lukasz,20,CCC Sprandi Polkowice,\u25bc5,4,2015
23,122,10.0,14.0,Berlato Giacomo,21,Nippo - Vini Fantini,\u25bc7,4,2015
24,21,9.0,22.0,Aru Fabio,22,Astana Pro Team,-,4,2015
25,12,8.0,16.0,Appollonio Davide,23,Androni Giocattoli - Sidermec,\u25bc7,4,2015
33,124,7.0,18.0,Colli Daniele,24,Nippo - Vini Fantini,\u25bc6,4,2015
34,175,7.0,19.0,Lagutin Sergey,25,Team Katusha,\u25bc6,4,2015
25,133,6.0,,Chaves Johan Esteban,26,Orica GreenEDGE,-,4,2015
27,185,6.0,,Keizer Martijn,27,Team LottoNL-Jumbo,-,4,2015
29,52,5.0,21.0,Bole Grega,28,CCC Sprandi Polkowice,\u25bc7,4,2015
38,171,5.0,20.0,Paolini Luca,29,Team Katusha,\u25bc9,4,2015
30,146,4.0,23.0,Gavazzi Francesco,30,Southeast,\u25bc7,4,2015
29,205,3.0,25.0,Kreuziger Roman,31,Tinkoff - Saxo,\u25bc6,4,2015
30,22,3.0,,Cataldo Dario,32,Astana Pro Team,-,4,2015
25,33,3.0,24.0,Battaglin Enrico,33,Bardiani - CSF Pro Team,\u25bc9,4,2015
32,201,2.0,,Contador Alberto,34,Tinkoff - Saxo,-,4,2015
27,217,2.0,26.0,van Poppel Boy,35,Trek Factory Racing,\u25bc9,4,2015
24,46,2.0,29.0,Dillier Silvan,36,BMC Racing Team,\u25bc7,4,2015
30,54,2.0,28.0,Matysiak Bart\u0142omiej,37,CCC Sprandi Polkowice,\u25bc9,4,2015
31,27,2.0,27.0,Sanchez Luis Leon,38,Astana Pro Team,\u25bc11,4,2015
31,8,2.0,,Montaguti Matteo,39,AG2R La Mondiale,-,4,2015
26,166,2.0,,Haga Chad,40,Team Giant - Alpecin,-,4,2015
30,191,1.0,,Porte Richie,41,Team Sky,-,4,2015
29,176,1.0,32.0,Porsev Alexander,42,Team Katusha,\u25bc10,4,2015
28,112,1.0,,Amador Andrey,43,Movistar Team,-,4,2015
26,214,1.0,31.0,Coledan Marco,44,Trek Factory Racing,\u25bc13,4,2015
26,199,53.0,1.0,Viviani Elia,1,Team Sky,-,5,2015
30,15,40.0,2.0,Frapporti Marco,2,Androni Giocattoli - Sidermec,-,5,2015
23,184,35.0,3.0,Hofland Moreno,3,Team LottoNL-Jumbo,-,5,2015
23,97,34.0,,Polanc Jan,4,Lampre - Merida,-,5,2015
22,156,26.0,4.0,Formolo Davide,5,Team Cannondale - Garmin,\u25bc1,5,2015
32,41,26.0,5.0,Gilbert Philippe,6,BMC Racing Team,\u25bc1,5,2015
28,134,26.0,6.0,Clarke Simon,7,Orica GreenEDGE,\u25bc1,5,2015
24,131,25.0,7.0,Matthews Michael,8,Orica GreenEDGE,\u25bc1,5,2015
32,104,25.0,8.0,Greipel Andr\xe9,9,Lotto Soudal,\u25bc1,5,2015
35,81,23.0,,Chavanel Sylvain,10,IAM Cycling,-,5,2015
24,21,21.0,22.0,Aru Fabio,11,Astana Pro Team,\u25b211,5,2015
26,18,20.0,,Tvetcov Serghei,12,Androni Giocattoli - Sidermec,-,5,2015
25,149,20.0,9.0,Zhupa Eugert,13,Southeast,\u25bc4,5,2015
25,186,20.0,10.0,Lindeman Bert-Jan,14,Team LottoNL-Jumbo,\u25bc4,5,2015
26,161,18.0,11.0,Mezgec Luka,15,Team Giant - Alpecin,\u25bc4,5,2015
33,48,17.0,12.0,Moinard Ama\xebl,16,BMC Racing Team,\u25bc4,5,2015
26,211,17.0,13.0,Nizzolo Giacomo,17,Trek Factory Racing,\u25bc4,5,2015
25,147,16.0,14.0,Monsalve Yonathan,18,Southeast,\u25bc4,5,2015
32,119,14.0,15.0,Visconti Giovanni,19,Movistar Team,\u25bc4,5,2015
