Rnk,BIB,Rider,Age,Team,year,stage
1,11,Cipollini Mario,35,Acqua & Sapone,2002,20
2,158,Strazzer Massimo,32,Phonak Hearing Systems,2002,20
3,82,Gonzalez Jimenez Aitor,27,Kelme - Costa Blanca,2002,20
4,55,Petacchi Alessandro,28,Fassa Bortolo,2002,20
5,204,Hamilton Tyler,31,CSC ProTeam - Tiscali,2002,20
6,49,Khalilov Mihaylo,26,,2002,20
7,75,Savoldelli Paolo,29,,2002,20
8,26,Moreni Cristian,29,Alessio,2002,20
9,171,Frigo Dario,28,Tacconi Sport,2002,20
10,94,Garate Juan Manuel,26,Lampre - Daikin,2002,20
11,124,Evans Cadel,25,Mapei - Quickstep,2002,20
12,118,Verbrugghe Rik,27,Lotto - Adecco,2002,20
13,22,Caucchioli Pietro,26,Alessio,2002,20
14,32,Perez Cuapio Julio Alberto,24,Panaria - Fiordo,2002,20
15,191,Lunghi Denis,26,,2002,20
16,83,G\xe1lvez Isaac,27,Kelme - Costa Blanca,2002,20
17,96,Piccoli Mariano,31,Lampre - Daikin,2002,20
18,183,Escartin Fernando,34,Team Coast,2002,20
19,54,Honchar Serhiy,31,Fassa Bortolo,2002,20
20,155,Grabsch Bert,26,Phonak Hearing Systems,2002,20
21,63,Haselbacher Rene,24,Gerolsteiner,2002,20
22,165,de Jongh Steven,28,Rabobank ProTeam,2002,20
23,68,Totschnig Georg,31,Gerolsteiner,2002,20
24,161,Boogerd Michael,30,Rabobank ProTeam,2002,20
25,145,Di Biase Moreno,26,,2002,20
26,174,Mazzoleni Eddy,28,Tacconi Sport,2002,20
27,24,Furlan Angelo,24,Alessio,2002,20
28,91,Tonkov Pavel,33,Lampre - Daikin,2002,20
29,28,Pellizotti Franco,24,Alessio,2002,20
30,8,Sacchi Fabio,28,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,2002,20
31,197,Meza Miguel Angel,25,,2002,20
32,4,Conte Biagio,34,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,2002,20
33,157,Pereiro Oscar,24,Phonak Hearing Systems,2002,20
34,119,Vierhouten Aart,32,Lotto - Adecco,2002,20
35,187,Michaelsen Lars,33,Team Coast,2002,20
36,102,Popovych Yaroslav,22,Landbouwkrediet - Colnago,2002,20
37,16,Lombardi Giovanni,32,Acqua & Sapone,2002,20
38,25,Gotti Ivan,33,Alessio,2002,20
39,129,Noe Andrea,33,Mapei - Quickstep,2002,20
40,81,Vicioso \xc1ngel,25,Kelme - Costa Blanca,2002,20
41,188,Schweda Raphael,26,Team Coast,2002,20
42,98,Sciandri Maximilian,35,Lampre - Daikin,2002,20
43,123,Cioni Dario,27,Mapei - Quickstep,2002,20
44,103,Bernucci Lorenzo,22,Landbouwkrediet - Colnago,2002,20
45,39,Degano Enrico,26,Panaria - Fiordo,2002,20
46,151,Buxhofer Matthias,28,Phonak Hearing Systems,2002,20
47,21,Bertolini Alessandro,30,Alessio,2002,20
48,111,Detilloux Christophe,28,Lotto - Adecco,2002,20
49,62,Faresin Gianni,36,Gerolsteiner,2002,20
50,69,Wrolich Peter,28,Gerolsteiner,2002,20
51,147,Murn Uros,27,,2002,20
52,17,Scarponi Michele,22,Acqua & Sapone,2002,20
53,192,Carrara Matteo,23,,2002,20
54,44,Munoz Hernan Dario,29,,2002,20
55,23,De Paoli Daniele,28,Alessio,2002,20
56,43,Joaquin Castelblanco Jos\xe9,32,,2002,20
57,163,Lotz Marc,28,Rabobank ProTeam,2002,20
58,196,Mazzoleni Renzo,25,,2002,20
59,113,Marichal Thierry,28,Lotto - Adecco,2002,20
60,167,Niermann Grischa,26,Rabobank ProTeam,2002,20
61,176,Gerosa Mauro,27,Tacconi Sport,2002,20
62,128,Nardello Daniele,29,Mapei - Quickstep,2002,20
63,156,Moos Alexandre,29,Phonak Hearing Systems,2002,20
64,2,Astarloa Ascasibar Igor,26,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,2002,20
65,84,Leon Mane Francisco,29,Kelme - Costa Blanca,2002,20
66,105,Cavagnis Oscar,27,Landbouwkrediet - Colnago,2002,20
67,152,Dominguez Juan Carlos,31,Phonak Hearing Systems,2002,20
68,166,Engels Addy,24,Rabobank ProTeam,2002,20
69,169,Veneberg Thorwald,24,Rabobank ProTeam,2002,20
70,45,Mar\xedn Ruber Alveiro,33,,2002,20
71,179,Zampieri Steve,24,Tacconi Sport,2002,20
72,168,Hayman Mathew,24,Rabobank ProTeam,2002,20
73,115,van de Wouwer Kurt,30,Lotto - Adecco,2002,20
74,35,Duma Vladimir,30,Panaria - Fiordo,2002,20
75,203,Garcia Marcelino,31,CSC ProTeam - Tiscali,2002,20
76,173,Apollonio Massimo,32,Tacconi Sport,2002,20
77,72,Manzoni Mario,32,,2002,20
78,149,Laverde Luis Felipe,22,,2002,20
79,164,Verheyen Geert,29,Rabobank ProTeam,2002,20
80,213,Hiekmann Torsten,22,Team Telekom,2002,20
81,95,Missaglia Gabriele,31,Lampre - Daikin,2002,20
82,148,Mesa Mesa Hector Orlando,26,,2002,20
83,185,H\xf8j Frank,29,Team Coast,2002,20
84,74,Lanfranchi Paolo,33,,2002,20
85,178,Radaelli Mauro,34,Tacconi Sport,2002,20
86,5,Galletti Alessio,34,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,2002,20
