Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
23,,173,,,,Cavendish Mark,1,Team Columbia - HTC,,+0:00,1,2009
35,,127,,+0:00,80.0,Petacchi Alessandro,1,LPR Brakes - Farnese Vini,3:43:07 3:43:07,,2,2009
23,,173,1.0,+0:00,50.0,Cavendish Mark,2,Team Columbia - HTC,",, ,,",,2,2009
21,,189,,+0:00,35.0,Swift Ben,3,Team Katusha,",, ,,",,2,2009
28,,131,,+0:00,25.0,Davis Allan,4,Quickstep - Innergetic,",, ,,",,2,2009
24,,83,,+0:00,18.0,Farrar Tyler,5,Team Garmin - Slipstream,",, ,,",,2,2009
24,,92,,+0:00,15.0,Gatto Oscar,6,ISD Cycling Team,",, ,,",,2,2009
24,,106,,+0:00,12.0,Gavazzi Francesco,7,Lampre - NGC,",, ,,",,2,2009
24,,73,,+0:00,10.0,Vigano Davide,8,Fuji-Servetto,",, ,,",,2,2009
28,,108,,+0:00,8.0,Mori Manuele,9,Lampre - NGC,",, ,,",,2,2009
25,,133,,+0:00,6.0,Devenyns Dries,10,Quickstep - Innergetic,",, ,,",,2,2009
26,,194,,+0:00,5.0,Fothen Thomas,11,Milram,",, ,,",,2,2009
28,,39,,+0:00,4.0,Longo Borghini Paolo,12,Barloworld - Bianchi,",, ,,",,2,2009
24,,159,,+0:00,3.0,Rodriguez Jackson,13,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,2,2009
25,,42,,+0:00,2.0,Chainel Steve,14,Bbox Bouygues Telekom,",, ,,",,2,2009
29,,142,,+0:00,1.0,Ardila Mauricio Alberto,15,Rabobank ProTeam,",, ,,",,2,2009
35,,1,,+0:00,,Garzelli Stefano,16,Acqua & Sapone,",, ,,",,2,2009
25,,62,,+0:00,,Deignan Philip,17,Cervelo Test Team,",, ,,",,2,2009
37,,202,,+0:00,,Voigt Jens,18,Saxo Bank,",, ,,",,2,2009
26,,196,,+0:00,,Rohregger Thomas,19,Milram,",, ,,",,2,2009
32,,11,,+0:00,,Valjavec Tadej,20,AG2R La Mondiale,",, ,,",,2,2009
26,,219,,+0:00,,Vorganov Eduard,21,Xacobeo-Galicia,",, ,,",,2,2009
34,,103,,+0:00,,Bruseghin Marzio,22,Lampre - NGC,",, ,,",,2,2009
23,,96,,+0:00,,Grabovskyy Dmytro,23,ISD Cycling Team,",, ,,",,2,2009
26,,177,,+0:00,,Renshaw Mark,24,Team Columbia - HTC,",, ,,",,2,2009
24,,132,,+0:00,,Cataldo Dario,25,Quickstep - Innergetic,",, ,,",,2,2009
27,,101,,+0:00,,Cunego Damiano,26,Lampre - NGC,",, ,,",,2,2009
28,,205,,+0:00,,Haedo Juan Jose,27,Saxo Bank,",, ,,",,2,2009
25,,95,,+0:00,,Grivko Andrei,28,ISD Cycling Team,",, ,,",,2,2009
29,,178,,+0:00,,Rogers Michael,29,Team Columbia - HTC,",, ,,",,2,2009
31,,141,,+0:00,,Menchov Denis,30,Rabobank ProTeam,",, ,,",,2,2009
31,,115,,+0:00,,Pellizotti Franco,31,Liquigas,",, ,,",,2,2009
25,,126,,+0:00,,Montaguti Matteo,32,LPR Brakes - Farnese Vini,",, ,,",,2,2009
28,,104,,+0:00,,Da Dalto Mauro,33,Lampre - NGC,",, ,,",,2,2009
33,,6,,+0:00,,Marzoli Ruggero,34,Acqua & Sapone,",, ,,",,2,2009
25,,174,,+0:00,,L\xf6fkvist Thomas,35,Team Columbia - HTC,",, ,,",,2,2009
37,,151,,+0:00,,Simoni Gilberto,36,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,2,2009
32,,87,,+0:00,,Vande Velde Christian,37,Team Garmin - Slipstream,",, ,,",,2,2009
27,,193,,+0:00,,Fothen Markus,38,Milram,",, ,,",,2,2009
34,,61,,+0:00,,Sastre Carlos,39,Cervelo Test Team,",, ,,",,2,2009
33,,121,,+0:00,,Di Luca Danilo,40,LPR Brakes - Farnese Vini,",, ,,",,2,2009
