Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,Alessio,,+ - 89:22:42,267:57:29 267:57:29,2002,20
2,,Lampre - Daikin,,+ - 89:22:42,30:10 30:10,2002,20
3,,Rabobank ProTeam,,+ - 89:22:42,40:12 40:12,2002,20
4,,CSC ProTeam - Tiscali,,+ - 89:22:42,42:03 42:03,2002,20
5,,Mapei - Quickstep,,+ - 89:22:42,45:55 45:55,2002,20
7,,Kelme - Costa Blanca,,+ - 89:22:42,58:00 58:00,2002,20
8,,Gerolsteiner,,+ - 89:22:42,1:16:29 1:16:29,2002,20
10,,Fassa Bortolo,,+ - 89:22:42,1:47:08 1:47:08,2002,20
11,,Team Coast,,+ - 89:22:42,1:48:22 1:48:22,2002,20
12,,Team Telekom,,+ - 89:22:42,1:56:50 1:56:50,2002,20
13,,Phonak Hearing Systems,,+ - 89:22:42,1:58:11 1:58:11,2002,20
14,,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,,+ - 89:22:42,2:02:52 2:02:52,2002,20
15,,Index - Alexia Alluminio,,+ - 89:22:42,2:12:52 2:12:52,2002,20
16,,Lotto - Adecco,,+ - 89:22:42,2:18:04 2:18:04,2002,20
17,,Landbouwkrediet - Colnago,,+ - 89:22:42,3:05:25 3:05:25,2002,20
18,,Panaria - Fiordo,,+ - 89:22:42,3:20:23 3:20:23,2002,20
19,,Acqua & Sapone,,+ - 89:22:42,3:23:58 3:23:58,2002,20
22,,Mercatone Uno,,+ - 89:22:42,4:23:53 4:23:53,2002,20
