Rnk,BIB,Rider,Age,Team,year,stage
1*,191,Petacchi Alessandro,33,Milram,2007,21
1,151,Di Luca Danilo,31,Liquigas,2007,21
2,1,Bettini Paolo,33,Quickstep - Innergetic,2007,21
3,89,Richeze Ariel Maximiliano,24,Ceramica Panaria - Navigare,2007,21
4,28,Piepoli Leonardo,35,Saunier Duval,2007,21
5,21,Simoni Gilberto,35,Saunier Duval,2007,21
6,41,Garzelli Stefano,33,Acqua & Sapone - Caff\xe8 Mokambo,2007,21
7,183,Schleck Andy,21,CSC ProTeam,2007,21
8,29,Ricco Riccardo,23,Saunier Duval,2007,21
9,31,Cunego Damiano,25,Lampre-Fondital,2007,21
10,16,Mazzoleni Eddy,33,Astana,2007,21
11,33,Bruseghin Marzio,32,Lampre-Fondital,2007,21
12,59,Usov Alexandre,29,AG2R Pr\xe9voyance,2007,21
13,11,Savoldelli Paolo,34,Astana,2007,21
14,156,Pellizotti Franco,29,Liquigas,2007,21
15,202,Petrov Evgeni,29,Tinkoff Credit Systems,2007,21
16,14,Bazayev Assan,26,Astana,2007,21
17,9,Visconti Giovanni,24,Quickstep - Innergetic,2007,21
18,83,Perez Cuapio Julio Alberto,29,Ceramica Panaria - Navigare,2007,21
19,91,Parra Ivan Ramiro,31,Cofidis,2007,21
20,86,Baliani Fortunato,32,Ceramica Panaria - Navigare,2007,21
21,71,Arroyo David,27,Caisse d'Epargne,2007,21
22,182,Zabriskie David,28,CSC ProTeam,2007,21
23,206,Ignatyev Mikhail,22,Tinkoff Credit Systems,2007,21
24,27,Mayo Iban,29,Saunier Duval,2007,21
25,217,Pinotti Marco,31,T-Mobile Team,2007,21
26,81,Sella Emanuele,26,Ceramica Panaria - Navigare,2007,21
27,189,Arvesen Kurt-Asle,32,CSC ProTeam,2007,21
28,82,Laverde Luis Felipe,27,Ceramica Panaria - Navigare,2007,21
29,55,Mangel Laurent,26,AG2R Pr\xe9voyance,2007,21
30,212,Bernucci Lorenzo,27,T-Mobile Team,2007,21
31,66,le Boulanger Yoann,31,Bouygues Telecom,2007,21
32,48,Palumbo Giuseppe,31,Acqua & Sapone - Caff\xe8 Mokambo,2007,21
33,56,Mondory Lloyd,25,AG2R Pr\xe9voyance,2007,21
34,107,Kern Christophe,26,Cr\xe9dit Agricole,2007,21
35,205,Serrano Ricardo,28,Tinkoff Credit Systems,2007,21
36,93,Buffaz Mickael,28,Cofidis,2007,21
37,203,Contrini Daniele,32,Tinkoff Credit Systems,2007,21
38,171,Rasmussen Michael,33,Rabobank ProTeam,2007,21
39,144,Gatto Oscar,22,Gerolsteiner,2007,21
40,67,Pichot Alexandre,24,Bouygues Telecom,2007,21
41,168,Zanini Stefano,38,Predictor - Lotto,2007,21
42,94,Duclos-Lassalle Herv\xe9,27,Cofidis,2007,21
43,187,Breschel Matti,22,CSC ProTeam,2007,21
44,5,Schwab Hubert,25,Quickstep - Innergetic,2007,21
45,143,Fothen Thomas,24,Gerolsteiner,2007,21
46,125,Irizar Markel,27,Euskaltel - Euskadi,2007,21
47,62,Crosbie Nicolas,27,Bouygues Telecom,2007,21
48,116,Rubiera Jos\xe9 Luis,34,Discovery Channel,2007,21
49,209,Trusov Nikolay,21,Tinkoff Credit Systems,2007,21
50,75,Losada Alberto,25,Caisse d'Epargne,2007,21
51,165,Aerts Mario,32,Predictor - Lotto,2007,21
52,45,Codol Massimo,34,Acqua & Sapone - Caff\xe8 Mokambo,2007,21
53,103,Bodrogi Laszlo,30,Cr\xe9dit Agricole,2007,21
54,104,Dean Julian,32,Cr\xe9dit Agricole,2007,21
55,39,Javier Vila Francisco,31,Lampre-Fondital,2007,21
56,34,Marzano Marco,26,Lampre-Fondital,2007,21
57,53,Krivtsov Yuriy,28,AG2R Pr\xe9voyance,2007,21
58,92,Bessy Fr\xe9d\xe9ric,35,Cofidis,2007,21
59,74,Lastras Pablo,31,Caisse d'Epargne,2007,21
60,112,Bileka Volodymyr,28,Discovery Channel,2007,21
61,157,Spezialetti Alessandro,32,Liquigas,2007,21
62,122,Fern\xe1ndez Koldo,25,Euskaltel - Euskadi,2007,21
63,154,Nibali Vincenzo,22,Liquigas,2007,21
64,88,Mazzanti Luca,33,Ceramica Panaria - Navigare,2007,21
65,201,Commesso Salvatore,32,Tinkoff Credit Systems,2007,21
66,179,Horrillo Pedro,32,Rabobank ProTeam,2007,21
67,155,Noe Andrea,38,Liquigas,2007,21
68,51,Nocentini Rinaldo,29,AG2R Pr\xe9voyance,2007,21
69,152,Gasparotto Enrico,25,Liquigas,2007,21
70,101,Caucchioli Pietro,31,Cr\xe9dit Agricole,2007,21
71,134,Jegou Lilian,31,Fran\xe7aise des Jeux,2007,21
72,207,Brutt Pavel,25,Tinkoff Credit Systems,2007,21
73,63,Drancourt Pierre,25,Bouygues Telecom,2007,21
74,37,Szmyd Sylwester,29,Lampre-Fondital,2007,21
75,162,Cioni Dario,32,Predictor - Lotto,2007,21
76,163,Jufre Josep,31,Predictor - Lotto,2007,21
77,58,Riblon Christophe,26,AG2R Pr\xe9voyance,2007,21
78,12,Gourov Maxim,28,Astana,2007,21
79,46,Kunitski Andrei,22,Acqua & Sapone - Caff\xe8 Mokambo,2007,21
80,7,Tosatto Matteo,33,Quickstep - Innergetic,2007,21
81,196,M\xfcller Martin,33,Milram,2007,21
82,146,Krauss Sven,24,Gerolsteiner,2007,21
83,49,Samoilau Branislau,22,Acqua & Sapone - Caff\xe8 Mokambo,2007,21
84,2,Engels Addy,29,Quickstep - Innergetic,2007,21
85,208,Aggiano Elio,35,Tinkoff Credit Systems,2007,21
86,178,Walker William,21,Rabobank ProTeam,2007,21
87,166,Van den Broeck Jurgen,24,Predictor - Lotto,2007,21
88,109,Roche Nicolas,22,Cr\xe9dit Agricole,2007,21
89,138,Patanchon Fabien,23,Fran\xe7aise des Jeux,2007,21
90,32,Bono Matteo,23,Lampre-Fondital,2007,21
91,85,Pozzovivo Domenico,24,Ceramica Panaria - Navigare,2007,21
92,52,Dupont Hubert,26,AG2R Pr\xe9voyance,2007,21
