Rnk,BIB,Rider,Age,Team,year,stage
98,87,Samoilau Branislau,27,Movistar Team,2012,20
99,167,Bulgac Brian,24,Lotto Belisol Team,2012,20
100,111,B\xe9rard Julien,24,AG2R La Mondiale,2012,20
101,171,Saez De Arregi Adrian,26,Euskaltel - Euskadi,2012,20
102,46,Lagutin Sergey,31,Vacansoleil - DCM,2012,20
103,54,Pauwels Serge,28,Omega Pharma - Quick-Step,2012,20
104,201,Zaugg Oliver,31,RadioShack - Nissan,2012,20
105,45,Denifl Stefan,24,Vacansoleil - DCM,2012,20
106,197,Veikkanen Jussi,31,FDJ - BigMat,2012,20
107,81,Pardilla Sergio,28,Movistar Team,2012,20
108,152,Sella Emanuele,31,Androni Giocattoli - Venezuela,2012,20
109,39,Vicioso \xc1ngel,35,Team Katusha,2012,20
110,42,Carrara Matteo,33,Vacansoleil - DCM,2012,20
111,216,Rosseler Sebastien,30,Team Garmin - Barracuda,2012,20
112,26,Keukeleire Jens,23,Orica GreenEDGE,2012,20
113,207,Rohregger Thomas,29,RadioShack - Nissan,2012,20
114,76,Gasparotto Enrico,30,Astana Pro Team,2012,20
115,116,Gastauer Ben,24,AG2R La Mondiale,2012,20
116,74,Zeits Andrey,25,Astana Pro Team,2012,20
117,27,Meier Christian,27,Orica GreenEDGE,2012,20
