Rnk,BIB,Rider,Age,Team,year,stage
1,171,Bettini Paolo,31,Quickstep - Innergetic,2005,20
2,101,Petacchi Alessandro,31,Fassa Bortolo,2005,20
3,151,Di Luca Danilo,29,Liquigas,2005,20
4,71,Savoldelli Paolo,32,Discovery Channel,2005,20
5,201,Basso Ivan,27,CSC ProTeam,2005,20
6,219,Zabel Erik,34,T-Mobile Team,2005,20
7,43,Rujano Jos\xe9 Humberto,23,Colombia - Selle Italia,2005,20
8,133,G\xe1lvez Isaac,30,Illes Balears - Caisse d'Epargne,2005,20
9,2,Simoni Gilberto,33,Lampre-Caffita,2005,20
10,41,Parra Ivan Ramiro,29,Colombia - Selle Italia,2005,20
11,191,Garate Juan Manuel,29,Saunier Duval - Prodir,2005,20
12,25,Grillo Paride,23,Ceramica Panaria - Navigare,2005,20
13,103,Bruseghin Marzio,30,Fassa Bortolo,2005,20
14,1,Cunego Damiano,23,Lampre-Caffita,2005,20
15,121,F\xf6rster Robert,27,Gerolsteiner,2005,20
16,81,Honchar Serhiy,34,Domina Vacanze,2005,20
17,127,Krauss Sven,22,Gerolsteiner,2005,20
18,168,Valjavec Tadej,28,Phonak Hearing Systems,2005,20
19,179,Zanini Stefano,36,Quickstep - Innergetic,2005,20
20,207,Zabriskie David,26,CSC ProTeam,2005,20
21,84,Celestino Mirko,32,Domina Vacanze,2005,20
22,153,Cioni Dario,30,Liquigas,2005,20
23,135,Karpets Vladimir,24,Illes Balears - Caisse d'Epargne,2005,20
24,67,Van Huffel Wim,26,Davitamon - Lotto,2005,20
25,22,Mazzanti Luca,31,Ceramica Panaria - Navigare,2005,20
26,161,Clerc Aur\xe9lien,25,Phonak Hearing Systems,2005,20
27,61,Ardila Mauricio Alberto,26,Davitamon - Lotto,2005,20
28,55,Le M\xe9vel Christophe,24,Cr\xe9dit Agricole,2005,20
29,87,Lorenzetto Mirco,23,Domina Vacanze,2005,20
30,62,Brandt Christophe,28,Davitamon - Lotto,2005,20
31,122,Fothen Markus,23,Gerolsteiner,2005,20
32,52,Caucchioli Pietro,29,Cr\xe9dit Agricole,2005,20
33,178,Pozzato Filippo,23,Quickstep - Innergetic,2005,20
34,21,Sella Emanuele,24,Ceramica Panaria - Navigare,2005,20
35,89,Vanotti Alessandro,24,Domina Vacanze,2005,20
36,59,Halgand Patrice,31,Cr\xe9dit Agricole,2005,20
37,148,Scarponi Michele,25,Liberty Seguros - W\xfcrth Team,2005,20
38,73,Bileka Volodymyr,26,Discovery Channel,2005,20
39,217,Schmitz Bram,28,T-Mobile Team,2005,20
40,109,Velo Marco,31,Fassa Bortolo,2005,20
41,212,Kessler Matthias,26,T-Mobile Team,2005,20
42,194,Mori Manuele,24,Saunier Duval - Prodir,2005,20
43,163,Murn Uros,30,Phonak Hearing Systems,2005,20
44,82,Belli Wladimir,34,Domina Vacanze,2005,20
45,31,Atienza Daniel,30,Cofidis,2005,20
46,137,Osa Unai,29,Illes Balears - Caisse d'Epargne,2005,20
