Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,Saunier Duval,,+ - 92:59:39,278:11:31 278:11:31,2007,21
2,,Liquigas,,+ - 92:59:39,3:53 3:53,2007,21
3,,Lampre-Fondital,,+ - 92:59:39,6:06 6:06,2007,21
4,,Astana,,+ - 92:59:39,6:56 6:56,2007,21
5,,Ceramica Panaria - Navigare,,+ - 92:59:39,10:15 10:15,2007,21
6,,Acqua & Sapone - Caff\xe8 Mokambo,,+ - 92:59:39,1:02:26 1:02:26,2007,21
7,,Caisse d'Epargne,,+ - 92:59:39,1:51:04 1:51:04,2007,21
8,,Cofidis,,+ - 92:59:39,1:52:21 1:52:21,2007,21
9,,Predictor - Lotto,,+ - 92:59:39,1:53:14 1:53:14,2007,21
10,,Quickstep - Innergetic,,+ - 92:59:39,2:21:31 2:21:31,2007,21
11,,CSC ProTeam,,+ - 92:59:39,2:36:41 2:36:41,2007,21
12,,AG2R Pr\xe9voyance,,+ - 92:59:39,2:38:28 2:38:28,2007,21
13,,T-Mobile Team,,+ - 92:59:39,2:53:59 2:53:59,2007,21
14,,Tinkoff Credit Systems,,+ - 92:59:39,3:01:46 3:01:46,2007,21
15,,Rabobank ProTeam,,+ - 92:59:39,3:36:13 3:36:13,2007,21
16,,Discovery Channel,,+ - 92:59:39,3:42:03 3:42:03,2007,21
17,,Cr\xe9dit Agricole,,+ - 92:59:39,3:56:18 3:56:18,2007,21
18,,Bouygues Telecom,,+ - 92:59:39,4:25:41 4:25:41,2007,21
19,,Fran\xe7aise des Jeux,,+ - 92:59:39,4:28:17 4:28:17,2007,21
20,,Euskaltel - Euskadi,,+ - 92:59:39,4:49:35 4:49:35,2007,21
21,,Gerolsteiner,,+ - 92:59:39,5:51:51 5:51:51,2007,21
22,,Milram,,+ - 92:59:39,6:52:58 6:52:58,2007,21
