Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
25,17,136.0,+29:43,,25.0,Rowe Luke,25,Team Sky,29:23 29:23,-,5,2015
24,122,140.0,+31:33,,24.0,Hansen Jesper,26,Tinkoff - Saxo,31:13 31:13,\u25bc2,5,2015
24,153,153.0,+35:27,,27.0,Guillemois Romain,27,Team Europcar,35:07 35:07,-,5,2015
21,166,154.0,+36:17,,26.0,S\xe9n\xe9chal Florian,28,"Cofidis, Solutions Cr\xe9dits",35:57 35:57,\u25bc2,5,2015
22,116,157.0,+41:04,,30.0,Watson Calvin,29,Trek Factory Racing,40:44 40:44,\u25b21,5,2015
23,8,159.0,+42:44,,29.0,van Baarle Dylan,30,Team Cannondale - Garmin,42:24 42:24,\u25bc1,5,2015
22,58,4.0,+0:35,,2.0,Yates Simon,1,Orica GreenEDGE,22:34:52 22:34:52,\u25b21,6,2015
24,41,9.0,+1:30,,1.0,Bardet Romain,2,AG2R La Mondiale,0:55 0:55,\u25bc1,6,2015
24,31,14.0,+3:05,,4.0,Kelderman Wilco,3,Team LottoNL-Jumbo,2:30 2:30,\u25b21,6,2015
21,62,24.0,+9:00,,10.0,Benoot Tiesj,4,Lotto Soudal,8:25 8:25,\u25b26,6,2015
25,32,26.0,+9:48,,8.0,Bennett George,5,Team LottoNL-Jumbo,9:13 9:13,\u25b23,6,2015
22,57,27.0,+9:55,,9.0,Yates Adam,6,Orica GreenEDGE,9:20 9:20,\u25b23,6,2015
25,92,39.0,+23:41,,12.0,Dennis Rohan,7,BMC Racing Team,23:06 23:06,\u25b25,6,2015
23,98,45.0,+33:34,,19.0,Teuns Dylan,8,BMC Racing Team,32:59 32:59,\u25b211,6,2015
23,196,49.0,+36:20,,3.0,Meintjes Louis,9,MTN - Qhubeka,35:45 35:45,\u25bc6,6,2015
24,162,52.0,+36:56,,21.0,Bouhanni Nacer,10,"Cofidis, Solutions Cr\xe9dits",36:21 36:21,\u25b211,6,2015
25,127,55.0,+38:06,,5.0,Poljanski Pawel,11,Tinkoff - Saxo,37:31 37:31,\u25bc6,6,2015
22,202,56.0,+38:13,,6.0,Buchmann Emanuel,12,Bora - Argon 18,37:38 37:38,\u25bc6,6,2015
23,181,57.0,+38:34,,7.0,Craddock Lawson,13,Team Giant - Alpecin,37:59 37:59,\u25bc6,6,2015
24,68,60.0,+39:20,,11.0,Wellens Tim,14,Lotto Soudal,38:45 38:45,\u25bc3,6,2015
