Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
24,185,68.0,+1:18,,11.0,Ludvigsson Tobias,68,Team Giant - Alpecin,1:18 1:18,+1:18,,\u25bc57,3,2015
23,181,69.0,+1:18,,45.0,Craddock Lawson,69,Team Giant - Alpecin,",, 1:18",+1:18,,\u25bc24,3,2015
27,152,70.0,+1:24,,12.0,Gautier Cyril,70,Team Europcar,1:24 1:24,+1:24,,\u25bc58,3,2015
29,42,71.0,+1:28,,40.0,Ch\xe9rel Micka\xebl,71,AG2R La Mondiale,1:28 1:28,+1:28,,\u25bc31,3,2015
22,124,72.0,+1:30,,8.0,McCarthy Jay,72,Tinkoff - Saxo,1:30 1:30,+1:30,,\u25bc64,3,2015
25,127,73.0,+1:30,,15.0,Poljanski Pawel,73,Tinkoff - Saxo,",, 1:30",+1:30,,\u25bc58,3,2015
28,123,74.0,+1:30,,41.0,Ki\u0161erlovski Robert,74,Tinkoff - Saxo,",, 1:30",+1:30,,\u25bc33,3,2015
24,122,75.0,+1:30,,53.0,Hansen Jesper,75,Tinkoff - Saxo,",, 1:30",+1:30,,\u25bc22,3,2015
30,128,76.0,+1:30,,70.0,S\xf8rensen Chris Anker,76,Tinkoff - Saxo,",, 1:30",+1:30,,\u25bc6,3,2015
23,174,77.0,+1:36,,91.0,Elissonde Kenny,77,FDJ,1:36 1:36,+1:36,,\u25b214,3,2015
31,161,78.0,+1:49,,85.0,Navarro Daniel,78,"Cofidis, Solutions Cr\xe9dits",1:49 1:49,+1:49,,\u25b27,3,2015
26,198,79.0,+2:10,,93.0,Teklehaimanot Daniel,79,MTN - Qhubeka,2:10 2:10,+2:10,,\u25b214,3,2015
31,156,80.0,+2:18,,100.0,Quemeneur Perrig,80,Team Europcar,2:18 2:18,+1:08,,\u25b220,3,2015
29,167,81.0,+2:20,,97.0,Simon Julien,81,"Cofidis, Solutions Cr\xe9dits",2:20 2:20,+1:49,,\u25b216,3,2015
29,75,82.0,+2:22,,87.0,Herrada Jos\xe9,82,Movistar Team,2:22 2:22,+2:22,,\u25b25,3,2015
28,18,83.0,+2:46,,30.0,Stannard Ian,83,Team Sky,2:46 2:46,+2:46,,\u25bc53,3,2015
25,95,84.0,+2:48,,115.0,Rosskopf Joey,84,BMC Racing Team,2:48 2:48,+0:00,,\u25b231,3,2015
34,203,85.0,+2:59,,76.0,Huzarski Bartosz,85,Bora - Argon 18,2:59 2:59,+2:59,,\u25bc9,3,2015
26,53,86.0,+3:09,,16.0,Keukeleire Jens,86,Orica GreenEDGE,3:09 3:09,+3:09,,\u25bc70,3,2015
34,126,87.0,+3:18,,24.0,Pires Bruno,87,Tinkoff - Saxo,3:18 3:18,+3:18,,\u25bc63,3,2015
24,12,88.0,+3:23,,124.0,Boswell Ian,88,Team Sky,3:23 3:23,+0:35,,\u25b236,3,2015
