Rnk,Rider,Age,Team,Pnt,year,stage
1,Moreau Christophe,35,AG2R Pr\xe9voyance,162,2006,7
2,Leipheimer Levi,32,Gerolsteiner,126,2006,7
3,Menchov Denis,28,Rabobank ProTeam,119,2006,7
4,Sevilla Oscar,29,T-Mobile Team,95,2006,7
5,Mayo Iban,28,Euskaltel - Euskadi,93,2006,7
6,Valverde Alejandro,26,Caisse d'Epargne - Illes Balears,90,2006,7
7,Arroyo David,26,Caisse d'Epargne - Illes Balears,64,2006,7
8,Piepoli Leonardo,34,Saunier Duval - Prodir,60,2006,7
9,Azevedo Jos\xe9 Bento Carvalho,32,Discovery Channel,51,2006,7
10,Mancebo Francisco,30,AG2R Pr\xe9voyance,45,2006,7
11,Kohl Bernhard,24,T-Mobile Team,42,2006,7
12,Caucchioli Pietro,30,Cr\xe9dit Agricole,39,2006,7
13,Wielinga Remmert,28,Quickstep - Innergetic,32,2006,7
14,Voeckler Thomas,26,Bouygues Telecom,29,2006,7
15,O'Grady Stuart,32,CSC ProTeam,22,2006,7
16,Chavanel Sylvain,26,Cofidis,22,2006,7
17,Charteau Anthony,27,Cr\xe9dit Agricole,20,2006,7
18,Paulinho S\xe9rgio,26,Astana - W\xfcrth Team,19,2006,7
19,Mazzoleni Eddy,32,T-Mobile Team,16,2006,7
20,Joly S\xe9bastien,26,Fran\xe7aise des Jeux,14,2006,7
21,Horner Chris,34,Saunier Duval - Prodir,14,2006,7
22,Zabriskie David,27,CSC ProTeam,13,2006,7
23,Gustov Volodymyr,29,CSC ProTeam,13,2006,7
24,Gilbert Philippe,23,Fran\xe7aise des Jeux,12,2006,7
25,Iglinskiy Maxim,25,Milram,12,2006,7
26,Kashechkin Andrey,26,Astana - W\xfcrth Team,12,2006,7
27,Inaudi Nicolas,28,Cofidis,10,2006,7
28,Vasseur C\xe9dric,35,Quickstep - Innergetic,10,2006,7
29,Hincapie George,32,Discovery Channel,8,2006,7
30,Marzano Marco,26,Lampre-Fondital,8,2006,7
31,Arrieta Jose Luis,34,AG2R Pr\xe9voyance,8,2006,7
32,Coutouly Cedric,26,Agritubel,8,2006,7
33,Goubert Stephane,36,AG2R Pr\xe9voyance,6,2006,7
34,Bak Lars Ytting,26,CSC ProTeam,6,2006,7
35,Pineau J\xe9rome,26,Bouygues Telecom,5,2006,7
36,Martinez Egoi,28,Discovery Channel,4,2006,7
37,Trenti Guido,33,Quickstep - Innergetic,4,2006,7
38,Hushovd Thor,28,Cr\xe9dit Agricole,3,2006,7
39,Pereiro Oscar,28,Caisse d'Epargne - Illes Balears,2,2006,7
40,Barry Michael,30,Discovery Channel,2,2006,7
41,Szmyd Sylwester,28,Lampre-Fondital,2,2006,7
42,Di Gr\xe9gorio R\xe9my,20,Fran\xe7aise des Jeux,1,2006,7
43,Fofonov Dimitri,29,Cr\xe9dit Agricole,1,2006,7
44,Dessel Cyril,31,AG2R Pr\xe9voyance,1,2006,7
45,Posthuma Joost,25,Rabobank ProTeam,1,2006,7
46,Bessy Fr\xe9d\xe9ric,34,Cofidis,1,2006,7
47,Vanotti Alessandro,25,Milram,1,2006,7
