Rnk,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
65,Pauriol R\xe9mi,30,FDJ - BigMat,,,40.0,+18:14,",, 6:11",2012,7
66,S\xf8rensen Nicki,37,Team Saxo Bank - Tinkoff Bank,,,69.0,+31:48,",, 6:11",2012,7
67,Arroyo David,32,Movistar Team,,,62.0,+28:19,",, 6:11",2012,7
68,Koren Kristijan,25,Liquigas - Cannondale,,,33.0,+16:40,",, 6:11",2012,7
69,Chavanel Sylvain,32,Omega Pharma - Quick-Step,,,49.0,+22:38,",, 6:11",2012,7
70,Martin Tony,27,Omega Pharma - Quick-Step,,,23.0,+10:16,",, 6:11",2012,7
71,Hincapie George,38,BMC Racing Team,,,63.0,+28:25,",, 6:11",2012,7
72,Morabito Steve,29,BMC Racing Team,,,81.0,+36:00,",, 6:11",2012,7
73,Gautier Cyril,24,Team Europcar,,,36.0,+17:22,",, 6:11",2012,7
74,Barredo Carlos,31,Rabobank Cycling Team,,,66.0,+30:02,",, 6:11",2012,7
75,Losada Alberto,30,Team Katusha,,,47.0,+22:29,",, 6:11",2012,7
76,Malacarne Davide,24,Team Europcar,,,55.0,+25:49,",, 6:11",2012,7
77,Vanendert Jelle,27,Lotto Belisol Team,,,85.0,+38:43,",, 6:11",2012,7
78,Veuchelen Frederik,33,Vacansoleil - DCM,,,99.0,+45:25,",, 6:11",2012,7
79,Trofimov Yuri,28,Team Katusha,,,43.0,+19:13,",, 6:11",2012,7
80,van de Walle Jurgen,35,Lotto Belisol Team,,,103.0,+46:36,",, 6:11",2012,7
81,Moncouti\xe9 David,37,Cofidis Le Credit en Ligne,,,73.0,+33:02,",, 6:11",2012,7
82,Kashechkin Andrey,32,Astana Pro Team,,,31.0,+16:03,",, 6:11",2012,7
83,Riblon Christophe,31,AG2R La Mondiale,,,86.0,+39:52,",, 6:11",2012,7
84,Pietropolli Daniele,31,Lampre - ISD,,,108.0,+47:38,",, 6:11",2012,7
85,Siutsou Kanstantsin,29,Sky Procycling,,,64.0,+28:43,",, 6:11",2012,7
86,Tankink Bram,33,Rabobank Cycling Team,,,48.0,+22:32,",, 6:11",2012,7
87,Ruijgh Rob,25,Vacansoleil - DCM,,,52.0,+24:57,",, 6:11",2012,7
88,Vogondy Nicolas,34,Cofidis Le Credit en Ligne,,,88.0,+40:16,",, 6:11",2012,7
89,Kvachuk Oleksandr,28,Lampre - ISD,,,131.0,+1:00:55,",, 6:11",2012,7
90,S\xe1nchez Samuel,34,Euskaltel - Euskadi,,,126.0,+56:56,",, 6:11",2012,7
91,Stortoni Simone,26,Lampre - ISD,,,78.0,+34:59,",, 6:11",2012,7
92,Kadri Blel,25,AG2R La Mondiale,,,58.0,+26:55,",, 6:11",2012,7
93,Millar David,35,Team Garmin - Barracuda,,,65.0,+29:50,7:13 7:13,2012,7
94,Ratto Daniele,22,Liquigas - Cannondale,,,118.0,+53:25,8:13 8:13,2012,7
95,Bernaudeau Giovanni,28,Team Europcar,,,136.0,+1:04:35,9:03 9:03,2012,7
96,Gerrans Simon,32,Orica GreenEDGE,,,94.0,+42:39,",, 9:03",2012,7
97,Martens Paul,28,Rabobank Cycling Team,,,89.0,+41:01,",, 9:03",2012,7
98,Kreder Michel,24,Team Garmin - Barracuda,,,121.0,+55:05,",, 9:03",2012,7
99,Vanotti Alessandro,31,Liquigas - Cannondale,,,107.0,+47:33,",, 9:03",2012,7
100,Hupond Thierry,27,Argos - Shimano,,,102.0,+46:35,",, 9:03",2012,7
101,Verdugo Gorka,33,Euskaltel - Euskadi,,,95.0,+44:13,",, 9:03",2012,7
102,Plaza Rub\xe9n,32,Movistar Team,,,53.0,+25:08,",, 9:03",2012,7
103,Kostyuk Denys,30,Lampre - ISD,,,117.0,+52:42,",, 9:03",2012,7
104,Teklehaimanot Daniel,23,Orica GreenEDGE,,,92.0,+41:46,",, 9:03",2012,7
105,Meyer Travis,23,Orica GreenEDGE,,,135.0,+1:02:50,",, 9:03",2012,7
106,Lloyd Matthew,29,Lampre - ISD,,,113.0,+49:45,",, 9:03",2012,7
107,Lemoine Cyril,29,Saur - Sojasun,,,111.0,+49:41,",, 9:03",2012,7
108,Duque Leonardo,32,Cofidis Le Credit en Ligne,,,120.0,+54:15,",, 9:03",2012,7
109,Vorganov Eduard,29,Team Katusha,,,93.0,+41:49,",, 9:03",2012,7
110,Vandenbergh Stijn,28,Omega Pharma - Quick-Step,,,116.0,+52:30,10:34 10:34,2012,7
111,Peraud Jean-Christophe,35,AG2R La Mondiale,,,68.0,+31:44,",, 10:34",2012,7
112,Krivtsov Yuriy,33,Lampre - ISD,,,132.0,+1:01:04,",, 10:34",2012,7
113,Vichot Arthur,23,FDJ - BigMat,,,70.0,+32:21,",, 10:34",2012,7
114,Hinault S\xe9bastien,38,AG2R La Mondiale,,,130.0,+58:39,",, 10:34",2012,7
115,R\xe9za K\xe9vin,24,Team Europcar,,,100.0,+45:27,",, 10:34",2012,7
116,Doi Yukihiro,28,Argos - Shimano,,,134.0,+1:02:45,",, 10:34",2012,7
117,Popovych Yaroslav,32,RadioShack - Nissan,,,114.0,+51:45,11:05 11:05,2012,7
118,Taaram\xe4e Rein,25,Cofidis Le Credit en Ligne,,,96.0,+44:25,",, 11:05",2012,7
119,Vinokourov Alexandre,38,Astana Pro Team,,,119.0,+53:32,13:20 13:20,2012,7
120,Belkov Maxim,27,Team Katusha,,,104.0,+46:42,",, 13:20",2012,7
121,Quinziato Manuel,32,BMC Racing Team,,,124.0,+55:46,13:45 13:45,2012,7
122,Knees Christian,31,Sky Procycling,,,112.0,+49:42,",, 13:45",2012,7
123,Grivko Andrei,28,Astana Pro Team,,,84.0,+37:07,",, 13:45",2012,7
124,Sulzberger Wesley,25,Orica GreenEDGE,,,141.0,+1:12:17,",, 13:45",2012,7
125,Dehaes Kenny,27,Lotto Belisol Team,,,147.0,+1:23:00,",, 13:45",2012,7
126,Clarke Simon,25,Orica GreenEDGE,,,125.0,+56:22,",, 13:45",2012,7
127,Matthews Michael,21,Rabobank Cycling Team,,,138.0,+1:06:49,",, 13:45",2012,7
128,Howard Leigh,22,Orica GreenEDGE,,,149.0,+1:25:34,",, 13:45",2012,7
129,Roulston Hayden,31,RadioShack - Nissan,,,110.0,+48:57,",, 13:45",2012,7
130,Cimolai Davide,22,Lampre - ISD,,,140.0,+1:10:12,",, 13:45",2012,7
131,Tjallingii Maarten,34,Rabobank Cycling Team,,,133.0,+1:01:51,",, 13:45",2012,7
132,Gilbert Philippe,29,BMC Racing Team,,,109.0,+47:58,",, 13:45",2012,7
133,Van der Sande Tosh,21,Lotto Belisol Team,,,145.0,+1:17:29,",, 13:45",2012,7
134,Bozic Borut,31,Astana Pro Team,,,123.0,+55:25,",, 13:45",2012,7
135,De Weert Kevin,30,Omega Pharma - Quick-Step,,,77.0,+34:39,",, 13:45",2012,7
136,Dockx Gert,23,Lotto Belisol Team,,,127.0,+57:41,",, 13:45",2012,7
137,Lindeman Bert-Jan,22,Vacansoleil - DCM,,,139.0,+1:09:29,",, 13:45",2012,7
138,Neyens Maarten,27,Lotto Belisol Team,,,143.0,+1:15:44,",, 13:45",2012,7
139,Grabsch Bert,36,Omega Pharma - Quick-Step,,,122.0,+55:08,",, 13:45",2012,7
140,Bilbao Pello,22,Euskaltel - Euskadi,,,146.0,+1:20:13,",, 13:45",2012,7
141,Landa Mikel,22,Euskaltel - Euskadi,,,83.0,+36:46,",, 13:45",2012,7
142,van Emden Jos,27,Rabobank Cycling Team,,,148.0,+1:23:18,",, 13:45",2012,7
143,Pate Danny,33,Sky Procycling,,,142.0,+1:12:28,",, 13:45",2012,7
144,Pineau J\xe9rome,32,Omega Pharma - Quick-Step,,,97.0,+44:53,",, 13:45",2012,7
145,Kluge Roger,26,Argos - Shimano,,,150.0,+1:27:02,",, 13:45",2012,7
146,Fischer Murilo Antonio,32,Team Garmin - Barracuda,,,129.0,+58:24,",, 13:45",2012,7
147,Degenkolb John,23,Argos - Shimano,,,115.0,+52:26,",, 13:45",2012,7
148,Tanner David,27,Team Saxo Bank - Tinkoff Bank,,,137.0,+1:06:41,18:36 18:36,2012,7
149,Perez Alan,29,Euskaltel - Euskadi,,,151.0,+1:31:10,",, 18:36",2012,7
150,Cantwell Jonathan,30,Team Saxo Bank - Tinkoff Bank,,,144.0,+1:15:52,",, 18:36",2012,7
151,Klostergaard Kasper,29,Team Saxo Bank - Tinkoff Bank,,,128.0,+58:14,18:40 18:40,2012,7
NQ,Kern Christophe,31,Team Europcar,,,,+ - 26:40:46,-2:59:37 -2:59:37,2012,7
DNF,Voeckler Thomas,32,Team Europcar,,,,+ - 26:40:46,",, -2:59:37",2012,7
DNF,Willems Frederik,32,Lotto Belisol Team,,,,+ - 26:40:46,",, -2:59:37",2012,7
DNF,Iglinskiy Maxim,31,Astana Pro Team,,,,+ - 26:40:46,",, -2:59:37",2012,7
