Rnk,Rider,Age,Team,year,stage
1,Sarmiento Jose Cayetano,25,Liquigas - Cannondale,2012,7
2,Kadri Blel,25,AG2R La Mondiale,2012,7
3,Moncouti\xe9 David,37,Cofidis Le Credit en Ligne,2012,7
4,Bernaudeau Giovanni,28,Team Europcar,2012,7
5,Edet Nicolas,24,Cofidis Le Credit en Ligne,2012,7
6,Quintana Nairo,22,Movistar Team,2012,7
7,Feillu Brice,26,Saur - Sojasun,2012,7
8,Coppel J\xe9rome,25,Saur - Sojasun,2012,7
9,Rolland Pierre,25,Team Europcar,2012,7
10,Martinez Egoi,34,Euskaltel - Euskadi,2012,7
11,Losada Alberto,30,Team Katusha,2012,7
12,Chavanel Sylvain,32,Omega Pharma - Quick-Step,2012,7
13,Evans Cadel,35,BMC Racing Team,2012,7
14,Jeandesboz Fabrice,27,Saur - Sojasun,2012,7
15,Paterski Maciej,25,Liquigas - Cannondale,2012,7
16,Westra Lieuwe,29,Vacansoleil - DCM,2012,7
17,Wiggins Bradley,32,Sky Procycling,2012,7
18,Porte Richie,27,Sky Procycling,2012,7
19,Howard Leigh,22,Orica GreenEDGE,2012,7
20,Froome Christopher,27,Sky Procycling,2012,7
21,Weening Pieter,31,Orica GreenEDGE,2012,7
22,Hern\xe1ndez Jes\xfas,30,Team Saxo Bank - Tinkoff Bank,2012,7
23,Fofonov Dimitri,35,Astana Pro Team,2012,7
24,Di Gr\xe9gorio R\xe9my,26,Cofidis Le Credit en Ligne,2012,7
25,Doi Yukihiro,28,Argos - Shimano,2012,7
26,Mat\xe9 Luis \xc1ngel,28,Cofidis Le Credit en Ligne,2012,7
27,Irizar Markel,32,RadioShack - Nissan,2012,7
28,Rogers Michael,32,Sky Procycling,2012,7
29,Vichot Arthur,23,FDJ - BigMat,2012,7
30,Navarro Daniel,28,Team Saxo Bank - Tinkoff Bank,2012,7
31,Le M\xe9vel Christophe,31,Team Garmin - Barracuda,2012,7
32,Marzano Marco,32,Lampre - ISD,2012,7
33,Van den Broeck Jurgen,29,Lotto Belisol Team,2012,7
34,Machado Tiago,26,RadioShack - Nissan,2012,7
35,Moreno Daniel,30,Team Katusha,2012,7
36,Pauriol R\xe9mi,30,FDJ - BigMat,2012,7
37,Tjallingii Maarten,34,Rabobank Cycling Team,2012,7
38,Kiryienka Vasil,30,Movistar Team,2012,7
39,Mederel Maxime,31,Saur - Sojasun,2012,7
40,Geniez Alexandre,24,Argos - Shimano,2012,7
41,Nibali Vincenzo,27,Liquigas - Cannondale,2012,7
42,Zubeldia Haimar,35,RadioShack - Nissan,2012,7
43,Moinard Ama\xebl,30,BMC Racing Team,2012,7
44,Riblon Christophe,31,AG2R La Mondiale,2012,7
45,R\xe9za K\xe9vin,24,Team Europcar,2012,7
46,Sanchez Luis Leon,28,Rabobank Cycling Team,2012,7
47,Simon Julien,26,Saur - Sojasun,2012,7
48,Vandenbergh Stijn,28,Omega Pharma - Quick-Step,2012,7
49,Gallopin Tony,24,RadioShack - Nissan,2012,7
50,Boasson Hagen Edvald,25,Sky Procycling,2012,7
51,Popovych Yaroslav,32,RadioShack - Nissan,2012,7
