Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
25,14,,,25.0,,Kennaugh Peter,1,Team Sky,,,1,2015
27,143,,,22.0,,Modolo Sacha,2,Lampre - Merida,,,1,2015
28,191,,,20.0,,Boasson Hagen Edvald,3,MTN - Qhubeka,,,1,2015
21,62,,,18.0,,Benoot Tiesj,4,Lotto Soudal,,,1,2015
35,51,,,16.0,,Gerrans Simon,5,Orica GreenEDGE,,,1,2015
24,162,,,14.0,,Bouhanni Nacer,6,"Cofidis, Solutions Cr\xe9dits",,,1,2015
22,124,,,12.0,,McCarthy Jay,7,Tinkoff - Saxo,,,1,2015
35,71,,,10.0,,Valverde Alejandro,8,Movistar Team,,,1,2015
34,43,,,8.0,,Dumoulin Samuel,9,AG2R La Mondiale,,,1,2015
27,152,,,6.0,,Gautier Cyril,10,Team Europcar,,,1,2015
27,143,,,42.0,2.0,Modolo Sacha,1,Lampre - Merida,,\u25b21,2,2015
24,162,,,39.0,6.0,Bouhanni Nacer,2,"Cofidis, Solutions Cr\xe9dits",,\u25b24,2,2015
28,191,,,38.0,3.0,Boasson Hagen Edvald,3,MTN - Qhubeka,,-,2,2015
34,43,,,30.0,9.0,Dumoulin Samuel,4,AG2R La Mondiale,,\u25b25,2,2015
25,14,,,25.0,1.0,Kennaugh Peter,5,Team Sky,,\u25bc4,2,2015
21,62,,,18.0,4.0,Benoot Tiesj,6,Lotto Soudal,,\u25bc2,2,2015
35,51,,,16.0,5.0,Gerrans Simon,7,Orica GreenEDGE,,\u25bc2,2,2015
25,87,,,16.0,,Tsatevich Alexey,8,Team Katusha,,-,2,2015
28,137,,,14.0,,van Genechten Jonas,9,IAM Cycling,,-,2,2015
22,124,,,12.0,7.0,McCarthy Jay,10,Tinkoff - Saxo,,\u25bc3,2,2015
26,53,,,12.0,,Keukeleire Jens,11,Orica GreenEDGE,,-,2,2015
27,7,,,10.0,,Navardauskas Ramunas,12,Team Cannondale - Garmin,,-,2,2015
35,71,,,10.0,8.0,Valverde Alejandro,13,Movistar Team,,\u25bc5,2,2015
27,154,,,8.0,,Martinez Yannick,14,Team Europcar,,-,2,2015
27,152,,,6.0,10.0,Gautier Cyril,15,Team Europcar,,\u25bc5,2,2015
26,186,,,6.0,,Mezgec Luka,16,Team Giant - Alpecin,,-,2,2015
25,92,1.0,+0:00,,14.0,Dennis Rohan,1,BMC Racing Team,8:00:37 8:00:37,\u25b213,3,2015
22,101,14.0,+0:18,,4.0,Alaphilippe Julian,2,Etixx - Quick Step,0:18 0:18,\u25b22,3,2015
22,58,21.0,+0:23,,8.0,Yates Simon,3,Orica GreenEDGE,0:23 0:23,\u25b25,3,2015
22,57,22.0,+0:23,,17.0,Yates Adam,4,Orica GreenEDGE,",, 0:23",\u25b213,3,2015
25,32,39.0,+0:54,,6.0,Bennett George,5,Team LottoNL-Jumbo,0:54 0:54,\u25b21,3,2015
24,31,45.0,+0:54,,15.0,Kelderman Wilco,6,Team LottoNL-Jumbo,",, 0:54",\u25b29,3,2015
22,202,46.0,+0:54,,16.0,Buchmann Emanuel,7,Bora - Argon 18,",, 0:54",\u25b29,3,2015
21,62,47.0,+0:59,,2.0,Benoot Tiesj,8,Lotto Soudal,0:59 0:59,\u25bc6,3,2015
