Rnk,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
103,Duque Leonardo,31,Cofidis Le Credit en Ligne,,5.0,103,+8:29,8:29 8:29,+8:29,2011,7
104,Anza Santo,30,Vacansoleil - DCM,,5.0,104,+9:41,9:41 9:41,+9:41,2011,7
105,Longo Borghini Paolo,30,Liquigas - Cannondale,,5.0,105,+10:19,10:19 10:19,+10:19,2011,7
106,Bole Grega,25,Lampre - ISD,,5.0,106,+10:54,10:54 10:54,+10:54,2011,7
107,Ligthart Pim,22,Vacansoleil - DCM,,5.0,107,+11:12,11:12 11:12,+11:12,2011,7
108,Grivko Andrei,27,Pro Team Astana,,5.0,108,+11:37,11:37 11:37,+11:37,2011,7
109,Perez Aitor,33,Lampre - ISD,,5.0,109,+12:44,12:44 12:44,+12:44,2011,7
110,Westra Lieuwe,28,Vacansoleil - DCM,,5.0,110,+13:01,13:01 13:01,+13:01,2011,7
111,Urtasun Pablo,31,Euskaltel - Euskadi,,5.0,111,+18:08,18:08 18:08,+18:08,2011,7
112,Tjallingii Maarten,33,Rabobank Cycling Team,,5.0,112,+19:14,19:14 19:14,+19:14,2011,7
113,Jerome Vincent,26,Team Europcar,,5.0,113,+21:38,21:38 21:38,+21:38,2011,7
