Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
34,48.358000000000004,,+0:00,,Zandio Xabier,64,Sky Procycling,",, 0:24",,0,2011
25,48.358000000000004,,+0:00,,Bessy Cyril,65,Saur - Sojasun,",, 0:24",,0,2011
22,48.238,,+0:00,,Vandousselaere Sven,66,Omega Pharma-Lotto,0:25 0:25,,0,2011
30,48.238,,+0:00,,Barredo Carlos,67*,Rabobank Cycling Team,",, 0:25",,0,2011
31,48.238,,+0:00,,Urtasun Pablo,67,Euskaltel - Euskadi,",, 0:25",,0,2011
25,48.238,,+0:00,,Feillu Brice,68,Leopard Trek,",, 0:25",,0,2011
24,48.238,,+0:00,,Ruijgh Rob,69,Vacansoleil - DCM,",, 0:25",,0,2011
27,48.119,,+0:00,,Wurf Cameron,70,Liquigas - Cannondale,0:26 0:26,,0,2011
30,48.119,,+0:00,,Knees Christian,71,Sky Procycling,",, 0:26",,0,2011
31,48.119,,+0:00,,Joly S\xe9bastien,72,Saur - Sojasun,",, 0:26",,0,2011
30,48.119,,+0:00,,Karpets Vladimir,73,Team Katusha,",, 0:26",,0,2011
32,48.119,,+0:00,,Rodr\xedguez Joaquim,74,Team Katusha,",, 0:26",,0,2011
27,48.0,,+0:00,,Go\u0142a\u015b Micha\u0142,75,Vacansoleil - DCM,0:27 0:27,,0,2011
31,47.882,,+0:00,,Paulinho S\xe9rgio,76,RadioShack,0:28 0:28,,0,2011
30,47.882,,+0:00,,Vansummeren Johan,77,Team Garmin - Cerv\xe9lo,",, 0:28",,0,2011
27,47.763999999999996,,+0:00,,Sanchez Luis Leon,78,Rabobank Cycling Team,0:29 0:29,,0,2011
35,47.763999999999996,,+0:00,,Klier Andreas,79,Team Garmin - Cerv\xe9lo,",, 0:29",,0,2011
26,47.763999999999996,,+0:00,,Finetto Mauro,80,Liquigas - Cannondale,",, 0:29",,0,2011
33,47.763999999999996,,+0:00,,Martinez Egoi,81,Euskaltel - Euskadi,",, 0:29",,0,2011
24,47.763999999999996,,+0:00,,Zeits Andrey,82,Pro Team Astana,",, 0:29",,0,2011
27,47.763999999999996,,+0:00,,Rabon Frantisek,83,HTC - High Road,",, 0:29",,0,2011
23,47.763999999999996,,+0:00,,Denifl Stefan,84,Leopard Trek,",, 0:29",,0,2011
20,47.763999999999996,,+0:00,,Herrada Jes\xfas,85,Movistar Team,",, 0:29",,0,2011
26,47.763999999999996,,+0:00,,Jerome Vincent,86,Team Europcar,",, 0:29",,0,2011
28,47.647,,+0:00,,Reda Francesco,87,Quickstep Cycling Team,0:30 0:30,,0,2011
27,47.647,,+0:00,,Santaromita Ivan,88,BMC Racing Team,",, 0:30",,0,2011
23,47.647,,+0:00,,Gautier Cyril,89,Team Europcar,",, 0:30",,0,2011
23,47.647,,+0:00,,Navardauskas Ramunas,90,Team Garmin - Cerv\xe9lo,",, 0:30",,0,2011
26,47.647,,+0:00,,Belkov Maxim,91,Vacansoleil - DCM,",, 0:30",,0,2011
26,47.647,,+0:00,,Jeandesboz Fabrice,92,Saur - Sojasun,",, 0:30",,0,2011
29,47.531000000000006,,+0:00,,Pauriol R\xe9mi,93,FDJ,0:31 0:31,,0,2011
27,47.531000000000006,,+0:00,,Erviti Imanol,94,Movistar Team,",, 0:31",,0,2011
31,47.531000000000006,,+0:00,,Bellotti Francesco,95,Liquigas - Cannondale,",, 0:31",,0,2011
25,47.531000000000006,,+0:00,,Jeannesson Arnold,96,FDJ,",, 0:31",,0,2011
36,47.415,,+0:00,,Dean Julian,97,Team Garmin - Cerv\xe9lo,0:32 0:32,,0,2011
21,47.299,,+0:00,,Bilbao Pello,98,Euskaltel - Euskadi,0:33 0:33,,0,2011
29,47.299,,+0:00,,Lequatre Geoffroy,99,RadioShack,",, 0:33",,0,2011
24,47.184,,+0:00,,Bouet Maxime,100,AG2R La Mondiale,0:34 0:34,,0,2011
33,47.184,,+0:00,,Basso Ivan,101,Liquigas - Cannondale,",, 0:34",,0,2011
21,47.184,,+0:00,,Tratnik Jan,102,Quickstep Cycling Team,",, 0:34",,0,2011
31,47.184,,+0:00,,Willems Frederik,103,Omega Pharma-Lotto,",, 0:34",,0,2011
25,47.184,,+0:00,,Di Gr\xe9gorio R\xe9my,104,Pro Team Astana,",, 0:34",,0,2011
30,47.07,,+0:00,,Mourey Francis,105,FDJ,0:35 0:35,,0,2011
29,47.07,,+0:00,,Talabardon Yannick,106,Saur - Sojasun,",, 0:35",,0,2011
21,47.07,,+0:00,,Majka Rafa\u0142,107,Saxo Bank - Sungard,",, 0:35",,0,2011
28,47.07,,+0:00,,Txurruka Amets,108,Euskaltel - Euskadi,",, 0:35",,0,2011
29,47.07,,+0:00,,Valentin Tristan,109,Cofidis Le Credit en Ligne,",, 0:35",,0,2011
36,47.07,,+0:00,,Ivanov Serguei,110,Team Katusha,",, 0:35",,0,2011
26,47.07,,+0:00,,Arashiro Yukiya,111,Team Europcar,",, 0:35",,0,2011
28,47.07,,+0:00,,Rohregger Thomas,112,Leopard Trek,",, 0:35",,0,2011
28,47.07,,+0:00,,Gusev Vladimir,113,Team Katusha,",, 0:35",,0,2011
28,46.957,,+0:00,,Haedo Lucas Sebastian,114,Saxo Bank - Sungard,0:36 0:36,,0,2011
33,46.957,,+0:00,,Perez Aitor,115,Lampre - ISD,",, 0:36",,0,2011
26,46.957,,+0:00,,Vanendert Jelle,116,Omega Pharma-Lotto,",, 0:36",,0,2011
26,46.957,,+0:00,,Selvaggi Mirko,117,Vacansoleil - DCM,",, 0:36",,0,2011
38,46.957,,+0:00,,Garcia Jose Vicente,118,Movistar Team,",, 0:36",,0,2011
32,46.957,,+0:00,,Pate Danny,119,HTC - High Road,",, 0:36",,0,2011
21,46.957,,+0:00,,Vermote Julien,120,Quickstep Cycling Team,",, 0:36",,0,2011
27,46.957,,+0:00,,Quemeneur Perrig,121,Team Europcar,",, 0:36",,0,2011
32,46.843,,+0:00,,Cappelle Andy,122,Quickstep Cycling Team,0:37 0:37,,0,2011
26,46.843,,+0:00,,S\xf8rensen Chris Anker,123,Saxo Bank - Sungard,",, 0:37",,0,2011
26,46.843,,+0:00,,Lund Anders,124,Leopard Trek,",, 0:37",,0,2011
24,46.843,,+0:00,,Uran Rigoberto,125,Sky Procycling,",, 0:37",,0,2011
28,46.731,,+0:00,,Monier Damien,126,Cofidis Le Credit en Ligne,0:38 0:38,,0,2011
30,46.619,,+0:00,,Marzano Marco,127,Lampre - ISD,0:39 0:39,,0,2011
30,46.619,,+0:00,,Haedo Juan Jose,128,Saxo Bank - Sungard,",, 0:39",,0,2011
24,46.619,,+0:00,,Rolland Pierre,129,Team Europcar,",, 0:39",,0,2011
24,46.507,,+0:00,,Paterski Maciej,130,Liquigas - Cannondale,0:40 0:40,,0,2011
