Rnk,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
93,Agnolutto Christophe,31.0,AG2R Pr\xe9voyance,93,+36:32,36:32 36:32,+36:32,2001,3
94,Auger Ludovic,30.0,,94,+36:33,36:33 36:33,+36:33,2001,3
95,Casper Jimmy,23.0,La Fran\xe7aise des Jeux,95,+37:07,37:07 37:07,+37:07,2001,3
96,Fofonov Dimitri,24.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",96,+37:24,37:24 37:24,+37:24,2001,3
97,Gougot Fabrice,29.0,Cr\xe9dit Agricole,97,+43:05,43:05 43:05,+43:05,2001,3
98,Joly S\xe9bastien,21.0,Bonjour,98,+43:16,43:16 43:16,+43:16,2001,3
99,Gabriel Fr\xe9d\xe9ric,30.0,Bonjour,99,+43:20,43:20 43:20,+43:20,2001,3
100,Marichal Thierry,28.0,Lotto - Adecco,100,+45:08,45:08 45:08,+45:08,2001,3
1,Millar David,24.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",1,+0:00,16:11:11 16:11:11,+0:00,2001,4
2,Vaughters Jonathan,28.0,Cr\xe9dit Agricole,2,+0:20,0:20 0:20,+0:20,2001,4
3,Moreau Christophe,30.0,Festina,3,+1:07,1:07 1:07,+1:07,2001,4
4,Etxebarria Unai,28.0,Euskaltel - Euskadi,4,+1:24,1:24 1:24,+1:24,2001,4
5,Tonkov Pavel,32.0,Mercury - Viatel,5,+1:41,1:41 1:41,+1:41,2001,4
6,Salmon Benoit,27.0,AG2R Pr\xe9voyance,6,+2:16,2:16 2:16,+2:16,2001,4
7,Merckx Axel,28.0,Domo - Farm Frites,7,+2:18,2:18 2:18,+2:18,2001,4
8,Menchov Denis,23.0,Ibanesto.com,8,+2:45,2:45 2:45,+2:45,2001,4
9,Montgomery Sven,25.0,La Fran\xe7aise des Jeux,9,+2:58,2:58 2:58,+2:58,2001,4
10,Kivilev Andrei,27.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",10,+3:06,3:06 3:06,+3:06,2001,4
11,Moncouti\xe9 David,26.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",11,+3:07,3:07 3:07,+3:07,2001,4
12,Mayo Iban,23.0,Euskaltel - Euskadi,12,+3:41,3:41 3:41,+3:41,2001,4
13,Rinero Christophe,27.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",13,+4:12,4:12 4:12,+4:12,2001,4
14,Heulot Stephane,30.0,,14,+4:43,4:43 4:43,+4:43,2001,4
15,Chaurreau I\xf1igo,28.0,Euskaltel - Euskadi,15,+4:53,4:53 4:53,+4:53,2001,4
16,Rous Didier,30.0,Bonjour,16,+5:37,5:37 5:37,+5:37,2001,4
