Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
27,,,,50.0,Wiggins Bradley,1,Cofidis,,0,2007
33,,,,30.0,Leipheimer Levi,2,Discovery Channel,,0,2007
27,,,,18.0,Kashechkin Andrey,3,Astana,,0,2007
33,,,,13.0,Hincapie George,4,Discovery Channel,,0,2007
27,,,,10.0,Valverde Alejandro,5,Caisse d'Epargne,,0,2007
28,,,,7.0,Zabriskie David,6,CSC ProTeam,,0,2007
26,,,,4.0,Boonen Tom,7,Quickstep - Innergetic,,0,2007
27,,,,3.0,Nuyens Nick,8,Cofidis,,0,2007
29,,,,2.0,Martinez Egoi,9,Discovery Channel,,0,2007
27,,,,1.0,Joly S\xe9bastien,10,Fran\xe7aise des Jeux,,0,2007
30,,,,,Millar David,11,Saunier Duval,,0,2007
27,,,,,Chavanel Sylvain,12,Cofidis,,0,2007
24,,,,,Clement Stef,13,Bouygues Telecom,,0,2007
24,,,,,Diudia Volodymyr,14,,,0,2007
27,,,,,Voeckler Thomas,15,Bouygues Telecom,,0,2007
29,,,,,Hushovd Thor,16,Cr\xe9dit Agricole,,0,2007
23,,,,,Grivko Andrei,17,Milram,,0,2007
24,,,,,Contador Alberto,18,Discovery Channel,,0,2007
31,,,,,Grabsch Bert,19,T-Mobile Team,,0,2007
27,,,,,Astarloza Mikel,20,Euskaltel - Euskadi,,0,2007
33,,,,,Vinokourov Alexandre,21,Astana,,0,2007
29,,,,,Menchov Denis,22,Rabobank ProTeam,,0,2007
36,,,,,Moreau Christophe,23,AG2R Pr\xe9voyance,,0,2007
28,,,,,Casar Sandy,24,Fran\xe7aise des Jeux,,0,2007
31,,,,,Belohvosciks Raivis,25,Saunier Duval,,0,2007
26,,,,,Steegmans Gert,26,Quickstep - Innergetic,,0,2007
29,,,,,Pereiro Oscar,27,Caisse d'Epargne,,0,2007
21,,,,,Grabovskyy Dmytro,28,Quickstep - Innergetic,,0,2007
30,,,,,Evans Cadel,29,Predictor - Lotto,,0,2007
21,,,,,Cornu Dominique,30,,,0,2007
35,,,,,Julich Bobby,31,CSC ProTeam,,0,2007
24,,,,,Gilbert Philippe,32,Fran\xe7aise des Jeux,,0,2007
25,,,,,Vaitkus Tomas,33,Discovery Channel,,0,2007
