Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
30,2,+0:14,190.0,2.0,Evans Cadel,2,Predictor - Lotto,0:14 0:14,+0:00,-,7,2007
27,3,+1:27,160.0,3.0,Kashechkin Andrey,3,Astana,1:27 1:27,+0:00,-,7,2007
29,4,+1:52,140.0,4.0,Menchov Denis,4,Rabobank ProTeam,1:52 1:52,+0:00,-,7,2007
28,5,+2:16,120.0,5.0,Zabriskie David,5,CSC ProTeam,2:16 2:16,+0:00,-,7,2007
24,6,+4:24,110.0,6.0,Contador Alberto,6,Discovery Channel,4:24 4:24,+0:00,-,7,2007
27,7,+5:00,100.0,7.0,Astarloza Mikel,7,Euskaltel - Euskadi,5:00 5:00,+0:00,-,7,2007
36,8,+5:01,90.0,8.0,Beltran Manuel,8,Liquigas,5:01 5:01,+0:00,-,7,2007
30,9,+5:17,80.0,9.0,Valjavec Tadej,9,Lampre-Fondital,5:17 5:17,+0:00,-,7,2007
27,10,+5:38,70.0,10.0,Chavanel Sylvain,10,Cofidis,5:38 5:38,+0:00,-,7,2007
35,11,+5:52,60.0,11.0,Piepoli Leonardo,11,Saunier Duval,5:52 5:52,+0:00,-,7,2007
30,12,+5:53,55.0,12.0,Gustov Volodymyr,12,CSC ProTeam,5:53 5:53,+0:00,-,7,2007
25,13,+6:52,50.0,13.0,Kohl Bernhard,13,Gerolsteiner,6:52 6:52,+0:00,-,7,2007
28,14,+7:14,45.0,14.0,Fedrigo Pierrick,14,Bouygues Telecom,7:14 7:14,+0:00,-,7,2007
30,15,+7:49,40.0,15.0,Zandio Xabier,15,Caisse d'Epargne,7:49 7:49,+0:00,-,7,2007
30,16,+8:01,36.0,16.0,Fofonov Dimitri,16,Cr\xe9dit Agricole,8:01 8:01,+0:00,-,7,2007
21,17,+8:02,32.0,17.0,Di Gr\xe9gorio R\xe9my,17,Fran\xe7aise des Jeux,8:02 8:02,+0:00,-,7,2007
32,18,+8:06,28.0,18.0,Turpin Ludovic,18,AG2R Pr\xe9voyance,8:06 8:06,+0:00,-,7,2007
30,19,+8:10,24.0,19.0,Zubeldia Haimar,19,Euskaltel - Euskadi,8:10 8:10,+0:00,-,7,2007
33,20,+9:47,20.0,20.0,Vinokourov Alexandre,20,Astana,9:47 9:47,+0:00,-,7,2007
